Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1100
design__inferred_latch__count,0
design__instance__count,175353
design__instance__area,868352
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,3
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0034736606758087873
power__switching__total,0.0011354973539710045
power__leakage__total,9.499926250100543e-07
power__total,0.004610108211636543
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-8.706158707051992
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2731570602581335
timing__hold__ws__corner:nom_tt_025C_1v80,0.7249703265132701
timing__setup__ws__corner:nom_tt_025C_1v80,41.54352357486495
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.72497
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,87.64296
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,3
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-9.015730639458504
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.4020908164680274
timing__hold__ws__corner:nom_ss_100C_1v60,1.1695071908592227
timing__setup__ws__corner:nom_ss_100C_1v60,37.58144479765574
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.511788
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,72.492073
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,3
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-8.567228946534877
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.21951284467013552
timing__hold__ws__corner:nom_ff_n40C_1v95,0.4377343056370799
timing__setup__ws__corner:nom_ff_n40C_1v95,42.976148300931285
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.437734
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,92.535896
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,3
design__max_cap_violation__count,0
clock__skew__worst_hold,-8.555817629875836
clock__skew__worst_setup,0.21085044029781067
timing__hold__ws,0.4304241529469927
timing__setup__ws,37.413152745931335
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.430424
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,72.361076
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 880.0 1031.66
design__core__bbox,5.52 10.88 874.46 1020.0
design__io,233
design__die__area,907861
design__core__area,876865
design__instance__count__stdcell,44960
design__instance__area__stdcell,383221
design__instance__count__macros,1
design__instance__area__macros,36347.4
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.478487
design__instance__utilization__stdcell,0.455935
design__rows,462
design__rows:unithd,462
design__sites,664965
design__sites:unithd,664965
design__instance__count__class:macro,1
design__instance__area__class:macro,36347.4
design__instance__count__class:buffer,51
design__instance__area__class:buffer,462.944
design__instance__count__class:inverter,368
design__instance__area__class:inverter,1381.32
design__instance__count__class:sequential_cell,5379
design__instance__area__class:sequential_cell,116581
design__instance__count__class:multi_input_combinational_cell,16341
design__instance__area__class:multi_input_combinational_cell,146528
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,3
flow__warnings__count:ORD-2011,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,130392
design__instance__area__class:fill_cell,448783
design__instance__count__class:tap_cell,11880
design__instance__area__class:tap_cell,14864.3
flow__warnings__count:PSM-0038,2
flow__warnings__count:PSM-0039,2
design__power_grid_violation__count__net:vccd1,145
design__power_grid_violation__count__net:vssd1,147
design__power_grid_violation__count,292
flow__warnings__count:GRT-0281,3
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,874973
design__violations,0
design__instance__count__class:timing_repair_buffer,9402
design__instance__area__class:timing_repair_buffer,88591.2
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,1022
design__instance__area__class:clock_buffer,12748.5
design__instance__count__class:clock_inverter,112
design__instance__area__class:clock_inverter,1051.01
flow__warnings__count:RSZ-0065,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,40
global_route__wirelength,1489337
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
design__instance__count__class:antenna_cell,405
design__instance__area__class:antenna_cell,1013.47
antenna_diodes_count,1
route__net,32237
route__net__special,2
route__drc_errors__iter:0,16
route__wirelength__iter:0,1002852
route__drc_errors__iter:1,1
route__wirelength__iter:1,1002859
route__drc_errors__iter:2,0
route__wirelength__iter:2,1002857
route__drc_errors__iter:3,7
route__wirelength__iter:3,1002849
route__drc_errors__iter:4,0
route__wirelength__iter:4,1002845
route__drc_errors,0
route__wirelength,1002857
route__vias,215480
route__vias__singlecut,215480
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
flow__warnings__count:DRT-0419,35
flow__warnings__count:GRT-0243,2
design__disconnected_pin__count,43
design__critical_disconnected_pin__count,0
route__wirelength__max,1373.3
