Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1061
design__inferred_latch__count,0
design__instance__count,193576
design__instance__area,876865
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,9
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.01424628496170044
power__switching__total,0.004629900213330984
power__leakage__total,9.566086873746826E-7
power__total,0.018877143040299416
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.9017229440584136
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2894937704829215
timing__hold__ws__corner:nom_tt_025C_1v80,0.7199636646198224
timing__setup__ws__corner:nom_tt_025C_1v80,7.586857579143083
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.719964
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.074415
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,9
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-3.1246126570535413
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.4166467289109522
timing__hold__ws__corner:nom_ss_100C_1v60,1.5152963757101403
timing__setup__ws__corner:nom_ss_100C_1v60,0.6728378045161432
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.515296
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,0.672838
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,9
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.7951792782639755
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2316240459436946
timing__hold__ws__corner:nom_ff_n40C_1v95,0.4100861988282928
timing__setup__ws__corner:nom_ff_n40C_1v95,8.798276134456449
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.410086
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.345383
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,9
design__max_cap_violation__count,0
clock__skew__worst_hold,-2.786294163146612
clock__skew__worst_setup,0.22246648208838285
timing__hold__ws,0.39943960381024113
timing__setup__ws,0.566693374932651
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.39944
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.566693
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 880.0 1031.66
design__core__bbox,5.52 10.88 874.46 1020.0
design__io,233
design__die__area,907861
design__core__area,876865
design__instance__count__stdcell,38960
design__instance__area__stdcell,335587
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.382712
design__instance__utilization__stdcell,0.382712
design__rows,371
design__rows:unithd,371
design__sites,700819
design__sites:unithd,700819
design__instance__count__class:buffer,5
design__instance__area__class:buffer,35.0336
design__instance__count__class:inverter,234
design__instance__area__class:inverter,878.342
design__instance__count__class:sequential_cell,5133
design__instance__area__class:sequential_cell,110127
design__instance__count__class:multi_input_combinational_cell,10903
design__instance__area__class:multi_input_combinational_cell,110104
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,154616
design__instance__area__class:fill_cell,541278
design__instance__count__class:tap_cell,12495
design__instance__area__class:tap_cell,15633.7
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0.92
design__instance__displacement__mean,0
design__instance__displacement__max,0.92
route__wirelength__estimated,729875
design__violations,0
design__instance__count__class:timing_repair_buffer,8820
design__instance__area__class:timing_repair_buffer,84288.3
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,1008
design__instance__area__class:clock_buffer,13232.7
design__instance__count__class:clock_inverter,59
design__instance__area__class:clock_inverter,529.258
flow__warnings__count:RSZ-0065,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,55
global_route__wirelength,1197584
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
design__instance__count__class:antenna_cell,303
design__instance__area__class:antenna_cell,758.227
antenna_diodes_count,92
route__net,25776
route__net__special,2
route__drc_errors__iter:0,69
route__wirelength__iter:0,810042
route__drc_errors__iter:1,43
route__wirelength__iter:1,810043
route__drc_errors__iter:2,38
route__wirelength__iter:2,810041
route__drc_errors__iter:3,2
route__wirelength__iter:3,810035
route__drc_errors__iter:4,0
route__wirelength__iter:4,810037
route__drc_errors__iter:5,0
route__wirelength__iter:5,809509
route__drc_errors,0
route__wirelength,810037
route__vias,166941
route__vias__singlecut,166941
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,38
design__critical_disconnected_pin__count,0
route__wirelength__max,873.42
timing__unannotated_net__count__corner:nom_tt_025C_1v80,655
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,655
